CUIT,GLN,Razón Social
30500846301,7790440000007,"ABBOTT LABORATORIES ARGENTINA S.A."
30712399623,7798258120009,"ABBVIE SA"
20139553854,9990440430004,"ABELLO ARGENTINA S.A.C.I."
30661466819,9990385980008,"ADMINISTRACION NACIONAL DE LABORATORIOS E INSTITUTOS DE SALUD ANLIS DR C G MALBR"
30680235135,9990377780005,"ADOX S.A."
30516987886,7792277000007,"AEROFARMA LABORATORIOS SAIC"
33700499419,9990377790004,"AHIMSA S.A."
30500852131,7798239160017,"AIR LIQUIDE ARGENTINA S A"
30516842667,7792086000007,"ALCON LABORATORIOS ARGENTINA S A"
30651772377,9990436190004,"ALERGO PHARMA SRL"
30505142256,9990493660007,"ALET LABORATORIOS S.A.I.C.I. Y E. "
33503888799,7795316000006,"ALLERGAN PRODUCTOS FARMACEUTICOS S.A. "
30685919776,7798193460000,"AMARIN TECHNOLOGIES S.A. "
30715588648,7798337900010,"AMGEN BIOTECNOLOGIA DE ARGENTINA SRL "
30708028610,9990381580004,"ANDINA REAL DE ARGENTINA SCS "
30618752271,9990377390006,"ANDROQUIMICA S.A. "
30607441401,7798162800004,"ARCANO S.A. "
30617835602,7792219000003,"ASOFARMA SOC ANONIMA INDUSTRIAL Y COMERCIAL "
33714198969,7798333230005,"ASPEN ARGENTINA S.A. "
33710735609,7798413670004,"ASSERCA S.R.L."
30641873523,9990475940004,"ASSISTANCE S.R.L."
30500772324,7795302000003,"ASTRAZENECA SOCIEDAD ANONIMA"
33703936429,7798097890002,"ATLAS FARMACEUTICA S A"
30627294480,7796035000001,"AVC FARMA S.A."
30602507005,9990381000007,"AWER SA"
30690747878,7798166530006,"B BRAUN MEDICAL S A"
30521092501,7795338000008,"BALIARDA SOCIEDAD ANONIMA"
23929136624,9990440630008,"BARNES HIND. FARMACEUTICA S.A."
30701777308,7798069050007,"BAUSCH & LOMB ARGENTINA S R L"
30539203599,7797545000000,"BAXTER ARGENTINA SOCIEDAD ANONIMA"
30503811061,7795320000009,"BAYER SOCIEDAD ANONIMA"
30616253650,9990377600006,"BEIERSDORF S.A."
30694454409,7798047980005,"BEIGENE ARGENTINA S.R.L."
30503704850,9990385190001,"BENITOL SACI"
30635815201,7798135620011,"BEQUEM S.A."
33617960279,9990474640004,"BILLIET Y CIA. S.R.L."
30714454702,9990551910006,"BINA PHARMA S.A."
30714391859,9990475740000,"BIOCINE"
30550853791,9990460430008,"BIOCROM S.A."
30707256849,7798087800004,"BIOFACTOR S.A."
30709724912,7798144380005,"BIOGEN (ARGENTINA) S R L"
30716672529,7798411880009,"BIOHOPE PHARMACEUTICAL S.A."
30711915369,9990432490009,"BIOMEC S.R.L."
30711364842,7798260150001,"BIOPAS ARGENTINA S.A."
30707498338,9990440300000,"BIOPHARM S.A."
30649364040,7798021440006,"BIOPROFARMA BAGO SA"
30598117094,7795355000005,"BIOSIDUS S.A.U."
30708412038,7794207000002,"BIOSINTEX S.A."
30709594512,7798163340004,"BIOTECHNO PHARMA SA"
30611306632,7796363000001,"BIOTENK S A"
30622531034,7798011830008,"BIOTOSCANA FARMA S.A."
30559823666,7798025840000,"BLIPACK SA"
30535621159,7795304000001,"BOEHRINGER INGELHEIM S A"
30711366306,7798324660019,"BRIA PHARMA SA"
30538058056,7795305000000,"BRISTOL MYERS SQUIBB ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMITADA"
30715303775,7798407320007,"BRIXEN LABS S.A."
30657105607,9990377610005,"BROBEL SRL"
30708969245,9990475680009,"CACHAMAI S.A.C.I.F. E I."
30708284250,7798122690003,"CAIF COMPANIA ARGENTINA DE INVESTIGACIONES FARMACEUTICAS S.A."
30538058749,7795339000007,"CASA RUBIO S A"
30534582761,7791845000005,"CATALENT ARGENTINA S.A.I.C."
30712004130,7798311370006,"CELNOVA ARGENTINA SA"
30695455220,9990399500001,"CENTRO DE MEZCLAS INTRAVENOSAS S.A."
30699645059,7798066760008,"CEVALLOS SALUD S.R.L."
30702946626,7798075400001,"CINETIC LABORATORIES ARGENTINA S.A."
30540437455,9990440500004,"CLARK Y CIA."
30615004843,9990433390001,"CLEITON S.R.L."
30711185662,9990440450002,"CLIMAX ARGENTINA S.R.L."
30700976501,9990377630003,"COMBE ARGENTINA SRL"
30546660210,9990401380003,"COMISION NACIONAL DE ENERGIA ATOMICA"
30683701382,7798087280004,"CONIFARMA CONSORCIO DE INTEG FARM S.A."
30503517767,7792234000002,"CRAVERI S A I C"
33707668089,7798098720001,"CSL BEHRING S A"
33716984899,9990606460005,"DANMEIER SA"
30711161461,7798197470005,"DAXLEY ARGENTINA S.A."
30607462905,9990440470000,"DEFUEN S.A."
30708039248,9990598490004,"DELTA BIOTECH SA"
33629282659,7798050060008,"DENVER FARMA S A"
30707157182,9990475760008,"DESMARK SRL"
30697441898,7798226330003,"DISTRIBUIDORA SOLDADURA JUNIN SA"
30503381407,7797290000003,"DONATO ZURLO Y CIA SRL"
30501190620,7795347000006,"DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL"
30606801765,7798063280004,"DRAWER S.A."
33708573189,9990374970003,"DRIBURG COMPANY SA"
30709874671,7798175480019,"DROGUERIA APONOR S.A."
30644770865,9990440360004,"DROGUERIA DRONOR S.A."
30631110203,9990475830008,"DROGUERIA MEDICAL ARGENTINA S.R.L."
30652870445,9990474550006,"DROGUERIA SAM S.A."
30712376887,7798346630014,"DROMEX BIOTECH S.A."
30547309800,9990440590005,"DROMICAP S.A."
30711499659,9990475770007,"DUCILO S.A."
30609703985,7795990000002,"ELI LILLY INTERAMERICA INC SUCURSAL ARGENTINA"
30661753915,7794433000005,"ELISIUM S.A."
30677835881,9990377640002,"ENZIMAS S.A."
30606928692,7798064390009,"EPICARIS SOCIEDAD ANONIMA"
